Organism	Study	KEGG_ID	metabolite	concentration
PCC 6803	Dempo_2014	C00275		0.12695576
PCC 6803	Shastri_2007	C00279	E4P	0.043478
PCC 6803	Dempo_2014	C00294		0.006347788
PCC 6803	Dempo_2014	C00295		0.004478234
PCC 6803	Dempo_2014	C00299		0.009391248
PCC 6803	Dempo_2014	C00311		0.630431
PCC 6803	Hasunuma_2013	C00311		0.3739108
PCC 6803	Shastri_2007	C00311		2.1739
PCC 6803	Yoshikawa_2013_Autotrophic	C00311		5.4651846
PCC 6803	Yoshikawa_2013_Mixotrophic	C00311		5.5477928
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00311		7.7564752
PCC 6803	Hasunuma_2013	C00315		0.000478258
PCC 6803	Yoshikawa_2013_Autotrophic	C00315		0.0086956
PCC 6803	Yoshikawa_2013_Mixotrophic	C00315		0.0043478
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00315		0.0043478
PCC 6803	Hasunuma_2013	C00327		0.3652152
PCC 6803	Yoshikawa_2013_Autotrophic	C00327		0.1782598
PCC 6803	Yoshikawa_2013_Mixotrophic	C00327		0.152173
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00327		0.152173
PCC 6803	Dempo_2014	C00334		0.0042043226
PCC 6803	Hasunuma_2013	C00334		0.00739126
PCC 6803	Dempo_2014	C00345		2.0260748
PCC 6803	Shastri_2007	C00345		0.043478
PCC 6803	Yoshikawa_2013_Autotrophic	C00345		0.0391302
PCC 6803	Yoshikawa_2013_Mixotrophic	C00345		1.260862
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00345		1.0304286
PCC 6803	Dempo_2014	C00354	FBP	0.1043472
PCC 6803	Shastri_2007	C00354	FBP	0.043478
PCC 6803	Yoshikawa_2013_Autotrophic	C00354	FBP	1.2739054
PCC 6803	Yoshikawa_2013_Mixotrophic	C00354	FBP	0.782604
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00354	FBP	0.9956462
PCC 6803	Hasunuma_2013	C00363		0.00999994
PCC 6803	Yoshikawa_2013_Autotrophic	C00363		0.0999994
PCC 6803	Dempo_2014	C00364		0.011782538
PCC 6803	Hasunuma_2013	C00364		0.0065217
PCC 6803	Yoshikawa_2013_Autotrophic	C00364		0.021739
PCC 6803	Dempo_2014	C00387		0.031565028
PCC 6803	Yoshikawa_2013_Autotrophic	C00387		0.0086956
PCC 6803	Hasunuma_2013	C00394		0.0282607
PCC 6803	Dempo_2014	C00407		0.1608686
PCC 6803	Hasunuma_2013	C00407		0.03173894
PCC 6803	Yoshikawa_2013_Autotrophic	C00407		0.0739126
PCC 6803	Yoshikawa_2013_Mixotrophic	C00407		0.0521736
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00407		0.0521736
PCC 6803	Hasunuma_2013	C00417		0.0152173
PCC 6803	Yoshikawa_2013_Autotrophic	C00417		0.0695648
PCC 6803	Yoshikawa_2013_Mixotrophic	C00417		0.304346
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00417		0.4652146
PCC 6803	Shastri_2007	C00447	SBP	0.043478
PCC 6803	Yoshikawa_2013_Autotrophic	C00458		0.0173912
PCC 6803	Yoshikawa_2013_Mixotrophic	C00458		0.0347824
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00458		0.0260868
PCC 6803	Yoshikawa_2013_Autotrophic	C00459		0.0173912
PCC 6803	Yoshikawa_2013_Mixotrophic	C00459		0.0391302
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00459		0.0304346
PCC 6803	Dempo_2014	C00475		0.005565184
PCC 6803	Hasunuma_2013	C00475		0.004086932
PCC 6803	Yoshikawa_2013_Autotrophic	C00483		0.0478258
PCC 6803	Yoshikawa_2013_Mixotrophic	C00483		0.0304346
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00483		0.021739
PCC 6803	Dempo_2014	C00493		0.0005739096
PCC 6803	Dempo_2014	C00498		0.0304346
PCC 6803	Hasunuma_2013	C00498		0.043478
PCC 6803	Dempo_2014	C00620		0.0015739036
PCC 6803	Shastri_2007	C00631	P2G	0.043478
PCC 6803	Yoshikawa_2013_Autotrophic	C00631	P2G	0.1043472
PCC 6803	Yoshikawa_2013_Mixotrophic	C00631	P2G	0.3956498
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00631	P2G	0.1695642
